collection,category,validation_status,error_type
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
jacket,자켓,success,
